"Source","Destination","Protocol","Info"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.101? Tell 0.0.0.0"
"0a:00:27:00:00:00","Broadcast","ARP","Who has 192.168.56.101? Tell 192.168.56.1"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"5a:94:d2:14:5a:51","Broadcast","ARP","Who has 192.168.56.1? Tell 192.168.56.101"
"0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","192.168.56.1 is at 0a:00:27:00:00:00"
"192.168.56.101","172.217.14.174","TCP","49169  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"172.217.14.174","192.168.56.101","TCP","443  >  49169 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"192.168.56.101","172.217.14.174","TCP","49169  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"192.168.56.101","172.217.14.174","TLSv1.2","Client Hello"
"172.217.14.174","192.168.56.101","TCP","443  >  49169 [ACK] Seq=1 Ack=162 Win=65535 Len=0"
"172.217.14.174","192.168.56.101","TLSv1.2","Server Hello"
"172.217.14.174","192.168.56.101","TCP","443  >  49169 [PSH, ACK] Seq=1461 Ack=162 Win=65535 Len=1364 [TCP segment of a reassembled PDU]"
