,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
1,2,1.021749,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
2,3,2.044526,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
3,4,3.891148,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
4,5,4.892067,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
5,6,5.92046,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
6,7,7.943766,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
7,8,8.95629,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
8,9,9.839106,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
9,10,9.839108,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
10,11,9.979967,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
11,12,10.839842,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
12,13,10.839846,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
13,14,11.838995,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
14,15,11.838999,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? (ARP Probe)
15,16,12.008162,0a:00:27:00:00:00,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
16,17,12.842976,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
17,18,12.842979,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
18,19,12.843011,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
19,20,12.851427,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xd671 A isatap
20,21,12.851428,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xd671 A isatap
21,22,12.852795,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
22,23,12.852796,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
23,24,12.876482,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
24,25,12.876484,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
25,26,12.878972,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
26,27,12.878973,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
27,28,12.929288,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
28,29,12.929291,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
29,30,12.930025,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
30,31,12.930027,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
31,32,12.930081,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
32,33,12.930082,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
33,34,12.937097,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
34,35,12.937099,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
35,36,12.950899,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xd671 A isatap
36,37,12.950916,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xd671 A isatap
37,38,12.965834,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
38,39,12.965836,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
39,40,13.014385,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
40,41,13.014387,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
41,42,13.014397,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
42,43,13.153015,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
43,44,13.153019,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
44,45,13.168359,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
45,46,13.168363,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
46,47,13.340774,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
47,48,13.340778,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
48,49,13.60654,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
49,50,13.606541,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
50,51,13.622059,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
51,52,13.622061,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
52,53,13.669647,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
53,54,13.669652,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
54,55,13.669717,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
55,56,13.669718,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
56,57,13.669756,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
57,58,13.669757,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
58,59,13.798921,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
59,60,13.798925,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
60,61,13.887161,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
