,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.022835,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,2.047802,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
3,4,3.824245,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
4,5,4.830624,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,5.621535,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
6,7,5.621537,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
7,8,5.854295,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,6.626878,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
9,10,6.626882,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,7.623291,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
11,12,7.623294,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
12,13,7.88175,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
13,14,8.626414,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
14,15,8.626418,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
15,16,8.626446,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
16,17,8.629074,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
17,18,8.629076,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
