,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.02425,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,1.101851,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
3,4,1.101855,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
4,5,2.047377,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,2.089578,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
6,7,2.089582,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
7,8,3.089788,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
8,9,3.089791,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
9,10,4.023737,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
10,11,4.089488,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
11,12,4.089491,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
12,13,4.089521,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
13,14,4.10632,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
14,15,4.106321,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
15,16,4.110453,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
16,17,4.110454,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
17,18,4.118586,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
18,19,4.118588,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
19,20,4.148362,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
20,21,4.148364,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
21,22,4.17874,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
22,23,4.178744,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
23,24,4.179141,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
24,25,4.179143,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
25,26,4.179472,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
26,27,4.179473,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
27,28,4.189696,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
28,29,4.189698,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
29,30,4.215504,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
30,31,4.215505,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
31,32,4.283331,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
32,33,4.283333,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
33,34,4.283342,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
34,35,4.498775,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
35,36,4.49878,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
36,37,4.593642,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
37,38,4.593645,192.168.56.101,224.0.0.22,IGMPv3,62,Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources
38,39,4.816424,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
39,40,4.816426,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
40,41,4.836594,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
41,42,4.836596,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
42,43,4.917195,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
43,44,4.917199,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
44,45,4.917882,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
45,46,4.917884,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
46,47,4.918971,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
47,48,4.918973,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
48,49,4.932726,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
49,50,4.93273,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
50,51,5.016509,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
51,52,5.016513,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
52,53,5.11771,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
53,54,5.117714,192.168.56.101,239.255.255.250,UDP,666,57521  >  3702 Len=624
54,55,5.650833,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
55,56,5.650835,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x21c1 A wpad
56,57,5.667179,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
57,58,5.667182,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
58,59,5.667291,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
59,60,5.667293,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
60,61,5.66736,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
61,62,5.667361,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
62,63,5.683063,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
63,64,5.683065,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
