,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.024748,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,2.047998,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
3,4,3.888032,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
4,5,4.896908,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,5.920235,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
6,7,7.948626,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
7,8,8.965891,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,9.98518,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
9,10,10.985918,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,10.98592,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
11,12,11.986592,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
12,13,11.986595,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
13,14,12.013221,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
14,15,12.990797,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
15,16,12.990801,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
16,17,13.024906,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
17,18,13.987409,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
18,19,13.987412,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
19,20,13.987466,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
20,21,13.996513,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
21,22,13.996514,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
22,23,14.009983,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
23,24,14.009984,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
24,25,14.012244,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xe98b ANY None
25,26,14.012245,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xe98b ANY None
26,27,14.030272,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
27,28,14.030274,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
28,29,14.042638,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
29,30,14.04264,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
30,31,14.069373,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
31,32,14.069374,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
32,33,14.069715,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
33,34,14.069716,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
34,35,14.070087,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
35,36,14.070089,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
36,37,14.111879,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xe98b ANY None
37,38,14.111881,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0xe98b ANY None
38,39,14.127493,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
39,40,14.127494,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
40,41,14.147578,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
41,42,14.14758,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
42,43,14.147587,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
43,44,14.332335,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
44,45,14.33234,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
45,46,14.333011,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
46,47,14.333013,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
